# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.271928649204e-02       1.815171285732e+04 
       3.287047652511e-02       1.807834845843e+04 
       3.302218792562e-02       1.800495778989e+04 
       3.317443467998e-02       1.793158376622e+04 
       3.332723123513e-02       1.785819612008e+04 
       3.348059251773e-02       1.778476334054e+04 
       3.363453395434e-02       1.771139550067e+04 
       3.378907149273e-02       1.763802943222e+04 
       3.394422162420e-02       1.756457395697e+04 
       3.410000140727e-02       1.749121061942e+04 
       3.425642849247e-02       1.741785412542e+04 
       3.441352114872e-02       1.734445932604e+04 
       3.457129829094e-02       1.727114077564e+04 
       3.472977950941e-02       1.719790426855e+04 
       3.488898510073e-02       1.712456586110e+04 
       3.504893610052e-02       1.705130708609e+04 
       3.520965431808e-02       1.697803566379e+04 
       3.537116237312e-02       1.690486754057e+04 
       3.553348373458e-02       1.683174672196e+04 
       3.569664276192e-02       1.675859854628e+04 
       3.586066474880e-02       1.668546087053e+04 
       3.602557596957e-02       1.661239114359e+04 
       3.619140372861e-02       1.653938280903e+04 
       3.635817641278e-02       1.646642697114e+04 
       3.652592354731e-02       1.639349607740e+04 
       3.669467585523e-02       1.632055468538e+04 
       3.686446532074e-02       1.624769233411e+04 
       3.703532525681e-02       1.617488234790e+04 
       3.720729037734e-02       1.610213157417e+04 
       3.738039687425e-02       1.602931975931e+04 
       3.755468249986e-02       1.595665110933e+04 
       3.773018665517e-02       1.588396311244e+04 
       3.790695048425e-02       1.581136565288e+04 
       3.808501697562e-02       1.573876644308e+04 
       3.826443107093e-02       1.566621712248e+04 
       3.844523978171e-02       1.559364863367e+04 
       3.862749231499e-02       1.552118947055e+04 
       3.881124020838e-02       1.544872088704e+04 
       3.899653747577e-02       1.537628064557e+04 
       3.918344076436e-02       1.530392199808e+04 
       3.937200952428e-02       1.523152757429e+04 
       3.956230619199e-02       1.515913139834e+04 
       3.975439638873e-02       1.508677530498e+04 
       3.994834913564e-02       1.501444028083e+04 
       4.014423708707e-02       1.494213113453e+04 
       4.034213678411e-02       1.486980585285e+04 
       4.054212893041e-02       1.479747409665e+04 
       4.074429869256e-02       1.472512740123e+04 
       4.094873602782e-02       1.465277267781e+04 
       4.115553604206e-02       1.458038763109e+04 
       4.136479938144e-02       1.450800505153e+04 
