# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.061362165992e-02       2.368997087228e+04 
       2.074574625292e-02       2.365047337526e+04 
       2.087794552684e-02       2.361003393122e+04 
       2.101022091547e-02       2.356864980134e+04 
       2.114257388787e-02       2.352638504116e+04 
       2.127500594908e-02       2.348320144471e+04 
       2.140751864094e-02       2.343916932880e+04 
       2.154011354288e-02       2.339424740315e+04 
       2.167279227278e-02       2.334855042461e+04 
       2.180555648778e-02       2.330196188123e+04 
       2.193840788523e-02       2.325461088055e+04 
       2.207134820357e-02       2.320642253882e+04 
       2.220437922328e-02       2.315746987254e+04 
       2.233750276785e-02       2.310777134353e+04 
       2.247072070481e-02       2.305730542403e+04 
       2.260403494672e-02       2.300609677304e+04 
       2.273744745229e-02       2.295419944646e+04 
       2.287096022745e-02       2.290157143852e+04 
       2.300457532649e-02       2.284827431925e+04 
       2.313829485326e-02       2.279428914141e+04 
       2.327212096231e-02       2.273966025133e+04 
       2.340605586023e-02       2.268435641853e+04 
       2.354010180687e-02       2.262845424713e+04 
       2.367426111667e-02       2.257190347487e+04 
       2.380853616007e-02       2.251477841310e+04 
       2.394292936489e-02       2.245696859493e+04 
       2.407744321778e-02       2.239871449732e+04 
       2.421208026575e-02       2.233982148206e+04 
       2.434684311771e-02       2.228039755712e+04 
       2.448173444607e-02       2.222046410213e+04 
       2.461675698839e-02       2.215994867125e+04 
       2.475191354909e-02       2.209895891305e+04 
       2.488720700124e-02       2.203743392095e+04 
       2.502264028833e-02       2.197542522788e+04 
       2.515821642619e-02       2.191298212105e+04 
       2.529393850493e-02       2.185006469974e+04 
       2.542980969093e-02       2.178667559006e+04 
       2.556583322892e-02       2.172287280347e+04 
       2.570201244413e-02       2.165859274742e+04 
       2.583835074453e-02       2.159396507561e+04 
       2.597485162308e-02       2.152889538132e+04 
       2.611151866012e-02       2.146343222065e+04 
       2.624835552583e-02       2.139757106386e+04 
       2.638536598276e-02       2.133137427300e+04 
       2.652255388845e-02       2.126483598845e+04 
       2.665992319818e-02       2.119777796206e+04 
       2.679747796773e-02       2.113059497295e+04 
       2.693522235635e-02       2.106305691547e+04 
       2.707316062972e-02       2.099515730991e+04 
       2.721129716313e-02       2.092693090149e+04 
       2.734963644469e-02       2.085839946956e+04 
       2.748818307870e-02       2.078964208967e+04 
       2.762694178911e-02       2.072056905723e+04 
       2.776591742315e-02       2.065129323610e+04 
       2.790511495509e-02       2.058169191040e+04 
       2.804453949007e-02       2.051184362391e+04 
       2.818419626817e-02       2.044179880099e+04 
       2.832409066860e-02       2.037149599144e+04 
       2.846422821403e-02       2.030095546079e+04 
       2.860461457508e-02       2.023021308165e+04 
       2.874525557507e-02       2.015932048902e+04 
       2.888615719482e-02       2.008818335421e+04 
       2.902732557775e-02       2.001689502347e+04 
       2.916876703517e-02       1.994538479610e+04 
       2.931048805169e-02       1.987372790951e+04 
       2.945249529100e-02       1.980193032376e+04 
       2.959479560174e-02       1.972995235242e+04 
       2.973739602368e-02       1.965780583428e+04 
       2.988030379420e-02       1.958555174752e+04 
       3.002352635492e-02       1.951315626547e+04 
       3.016707135876e-02       1.944066423134e+04 
       3.031094667714e-02       1.936800979376e+04 
       3.045516040763e-02       1.929530307920e+04 
       3.059972088186e-02       1.922239565911e+04 
       3.074463667375e-02       1.914945987646e+04 
       3.088991660818e-02       1.907645174073e+04 
       3.103556976999e-02       1.900333683898e+04 
       3.118160551339e-02       1.893012976309e+04 
       3.132803347180e-02       1.885690407410e+04 
       3.147486356816e-02       1.878356337529e+04 
       3.162210602567e-02       1.871016027664e+04 
       3.176977137907e-02       1.863671295639e+04 
       3.191787048643e-02       1.856319894894e+04 
       3.206641454148e-02       1.848965315442e+04 
